recipe_slug	score_bound	reward
apple-crumble	7.483314773547883	1.0
ramen	7.270092635238739	0.0
quesadillas	7.235617062396761	0.5
ma-la-chicken	7.161006675290387	0.0
chocolate-babka	6.962768289779559	1.0
pain-au-chocolat	7.011034397123168	1.0
spamburger	6.98785962399165	0.0
bacon-fried-rice	6.8829701451535135	0.0
nacho-fries	6.690240639584505	0.5
cranberry-relish	6.691752479327055	1.0
strawberry-rhubarb-crisp	6.636142785811309	1.0
asparagus-burger	6.526646582875418	0.25
apple-pie	6.4577223476953165	1.0
brioche-bread	6.348704553071339	1.0
mushroom-quiche	6.355436017935285	0.5
bacon-wrapped-asparagus	6.303941012090972	0.0
guacamole	6.192957092019574	0.25
tamales	6.125911827509676	0.5
cold-noodles-with-tomatoes	6.108564318903209	0.25
bacon-wrapped-chicken	6.090432951210332	0.0
cranberry-apple-crisp	6.053443202297345	1.0
taco-salad	5.938632416578144	0.5
dan-dan-noodles	5.855907806723537	0.0
croissants	5.830110333383074	1.0
asparagus-quiche	5.783239581204208	0.25
chicken-nuggets	5.716217215364224	0.5
fajitas	5.657573960710744	0.5
spam-musubi	5.620142109914773	0.0
peanut-butter-cupcakes	5.603073469403431	1.0
croissant-aux-amandes	5.5592677925181375	1.0
apple-crisp	5.548316304876128	1.0
tacos	5.5242556299681	0.5
bacon-mac-and-cheese	5.509592067681842	0.0
danishes	5.454127477567367	0.0
sujebi	5.364181748341401	0.0
souffle	5.307942508638586	0.75
nacho-salad	5.281690753060282	0.5
vanilla-souffle	5.213208261647536	0.75
bacon-wrapped-shrimp-skewers	5.1959484559503935	0.0
brioche-bread-with-chocolate	5.181843198874951	1.0
quiche-lorraine	5.147121333341038	0.0
cherry-pie	5.142450206013269	1.0
brownies	5.1529973548323795	1.0
spinach-and-ricotta-lasagna	5.111668267377155	0.75
nachos	5.106407177369496	0.5
spinach-quiche	5.076466779114371	0.5
soba-noodle-salad-with-peanut-dressing	5.052993606251295	0.5
loaded-nachos	4.996035477779058	0.5
enchiladas	4.979338151874504	0.5
chocolate-peanut-butter-cake	4.972714337202298	1.0
cranberry-sauce	4.902656549378023	1.0
breakfast-burritos	4.840835369240968	0.0
peach-crisp	4.833350454241708	1.0
almond-croissants	4.796880235497376	1.0
pickled-green-beans	4.744627180984714	0.0
ma-la-beef	4.658998157937207	0.0
cold-sesame-noodles	4.64727797275115	0.25
bolognese-sauce	4.637414731903126	0.75
almond-chip-cookies	4.62186146817333	1.0
chiles-rellenos	4.602838975859588	0.0
falafel	4.578436282304	0.0
burritos	4.547146407838688	0.5
tempura-udon	4.5365353265527695	0.5
chicken-alfredo-lasagna	4.503922813004034	0.75
berry-crisp	4.468523054125192	1.0
bacon-egg-muffins	4.4625379650619905	0.0
peach-cobbler	4.410666044622142	1.0
chicken-fingers	4.407491573194442	0.5
spinach-and-feta-quiche	4.40058968698288	0.5
maple-bacon-donuts	4.364074917003919	0.0
cold-soba-noodles-with-tomato-and-cucumber	4.341351884682402	0.25
classic-beef-lasagna	4.331507310148587	0.75
pico-de-gallo	4.280624220329713	0.25
french-toast	4.2499822227253805	0.75
nacho-casserole	4.186891939383302	0.5
bacon-wrapped-scallops	4.172776290259626	0.0
chocolate-croissants	4.130932573395721	1.0
chocolate-cake	4.072248750924255	1.0
fried-oysters	4.066053017190807	0.25
blueberry-crisp	4.063041543641802	1.0
bacon-and-egg-breakfast-sandwich	4.015470533753582	0.0
nacho-dip	3.9934431506035533	0.5
cherry-cobbler	3.9759241625756596	1.0
udon	3.934650322153703	0.5
pasta-primavera	3.909373056368284	0.5
peanut-butter-brownies	3.87637846453906	1.0
pickled-asparagus	3.7902489246845428	0.0
lasagna	3.7751641963377547	0.75
bacon-chocolate-chip-cookies	3.7507476029708497	0.0
maple-bacon-pancakes	3.7206842651378884	0.0
bacon-wrapped-dates	3.646776491008536	0.0
blueberry-crumble	3.587453632635219	1.0
cinnamon-babka	3.5507474204086305	1.0
vegetarian-mushroom-lasagna	3.5434133748072503	0.75
chocolate-souffle	3.4011442121788535	0.75
berry-crumble	3.2817144383377816	1.0
spinach-and-ricotta-stuffed-shells	3.272023760103511	0.75
butter-croissants	3.116738370528056	1.0
vegetable-lasagna	2.817257607209989	0.5
bacon-souffle	2.5498709597470337	0.0
